canonical|color|origin|synonyms|note
Cabernet Sauvignon|Red|France (Bordeaux)||A chance Cabernet Franc x Sauvignon Blanc crossing; now the most planted wine grape on earth.
Cabernet Franc|Red|France (Bordeaux)||Parent of Cabernet Sauvignon, Merlot and Carmenère.
Merlot|Red|France (Bordeaux)||The world's second-most planted red; early-ripening and supple.
Malbec|Red|France (Cahors)|Côt|Left Bordeaux for Argentina and became someone else's national grape.
Petit Verdot|Red|France (Bordeaux)||
Carmenère|Red|France (Bordeaux)||Nearly lost in France; found in Chile in 1994 after decades misidentified as Merlot.
Sémillon|White|France (Bordeaux)|Semillon; Semillón|Botrytis-prone, which is exactly why Sauternes exists.
Sauvignon Blanc|White|France (Loire)|Sauvignon|
Muscadelle|White|France (Bordeaux)||
Pinot Noir|Red|France (Burgundy)|Spätburgunder; Pinot Nero; Blauburgunder; Rulandské Modré|Thin-skinned and site-sensitive; the reason Burgundy is mapped vineyard by vineyard.
Chardonnay|White|France (Burgundy)|Morillon|Neutral enough to transmit site and winemaking rather than itself.
Aligoté|White|France (Burgundy)||
Gamay|Red|France (Burgundy)||Banished from Burgundy by decree in 1395; found its home in Beaujolais.
César|Red|France (Burgundy)||
Meunier|Red|France (Champagne)|Schwarzriesling; Pinot Meunier|
Frühburgunder|Red|Germany||Early-ripening mutation of Pinot Noir.
Pinot Gris|Pink|France (Burgundy)|Pinot Grigio; Grauburgunder; Szürkebarát; Ruländer|Pink-skinned mutation of Pinot Noir, vinified as white.
Pinot Blanc|White|France (Alsace)|Weissburgunder; Pinot Bianco|
Gewurztraminer|Pink|Italy (Alto Adige)|Gewürztraminer|Aromatic pink-berried mutation of Savagnin.
Riesling|White|Germany (Rhine)|Rhine Riesling; Ryzlink Rýnský; Klingelberger|Holds acidity at any ripeness, which is why it ages for decades.
Sylvaner|White|Central Europe|Silvaner|
Auxerrois|White|France (Alsace)|Auxerrois Blanc|A different grape from Malbec, confusingly also called Auxerrois in Cahors.
Chenin Blanc|White|France (Loire)|Steen; Pineau de la Loire|Makes bone-dry, sparkling and botrytis sweet wine from the same vineyard.
Melon de Bourgogne|White|France (Burgundy)|Muscadet|
Folle Blanche|White|France||
Romorantin|White|France (Loire)||Grown almost nowhere but Cour-Cheverny.
Pineau d'Aunis|Red|France (Loire)||
Grolleau|Red|France (Loire)||
Syrah|Red|France (Rhône)|Shiraz|One grape, two names; the name signals intended style more than genetics.
Viognier|White|France (Rhône)||Down to about 14 hectares worldwide in the 1960s.
Marsanne|White|France (Rhône)||
Roussanne|White|France (Rhône)||
Grenache|Red|Spain (Aragón)|Garnacha; Cannonau|
Grenache Blanc|White|Spain (Aragón)|Garnacha Blanca|
Mourvèdre|Red|Spain (Valencia)|Monastrell; Mataró|
Cinsault|Red|France (Languedoc)||A parent of Pinotage.
Carignan|Red|Spain (Aragón)|Cariñena; Mazuelo; Carignano; Samsó|
Clairette|White|France (Rhône)||
Piquepoul Blanc|White|France (Languedoc)||
Tibouren|Red|France (Provence)||
Braquet|Red|France (Provence)||
Mauzac|White|France (SW)||
Duras|Red|France (SW)||
Fer Servadou|Red|France (SW)|Braucol; Mansois; Pinenc|
Négrette|Red|France (SW)||
Abouriou|Red|France (SW)||
Baroque|White|France (SW)||
Tannat|Red|France (SW)||Uruguay's national grape, softer there than in its native Madiran.
Petit Manseng|White|France (SW)||
Gros Manseng|White|France (SW)||
Colombard|White|France (SW)||
Savagnin|White|France (Jura)|Traminer; Heida; Païen; Savagnin Blanc|The Vin Jaune grape, and ancestor of Gewürztraminer.
Poulsard|Red|France (Jura)|Ploussard|
Trousseau|Red|France (Jura)|Bastardo|
Jacquère|White|France (Savoie)||
Altesse|White|France (Savoie)|Roussette|
Molette|White|France (Savoie)||
Mondeuse Noire|Red|France (Savoie)||
Sciaccarello|Red|Italy (Tuscany)|Mammolo|Corsica's name for Tuscany's Mammolo.
Muscat Blanc à Petits Grains|White|Greece|Muscat Blanc; Moscato Bianco; Muscat; Moscato; Sárga Muskotály; Muscat de Frontignan; Moscatel Galego; Tămâioasă Românească; Temjanika|The oldest domesticated wine grape still in wide use.
Muscat à Petits Grains Rouge|Red|Greece||Red-berried mutation; the Rutherglen Muscat grape.
Muscat of Alexandria|White|Egypt|Zibibbo; Moscatel de Setúbal; Moscatel|
Alicante Bouschet|Red|France|Garnacha Tintorera|A teinturier: red flesh, not just red skin.
Petite Sirah|Red|France|Durif|
Chasselas|White|Switzerland|Fendant|
Marselan|Red|France||Cabernet Sauvignon x Grenache, bred 1961; now China's calling card.
Gamaret|Red|Switzerland||
Ruby Cabernet|Red|United States||Cabernet Sauvignon x Carignan.
Seyval Blanc|White|France|Seyval|Hybrid.
Chambourcin|Red|France||Hybrid.
Vidal|White|France|Vidal Blanc|Hybrid; the workhorse of Canadian icewine.
Villard|White|France||Hybrid.
Couderc|Red|France||Hybrid.
Solaris|White|Germany||Hybrid bred for cold climates; the reason Scandinavia has vineyards.
Rondo|Red|Czechia||Hybrid.
Johanniter|White|Germany||Hybrid.
Hibernal|White|Germany||Hybrid.
Regent|Red|Germany||Hybrid.
Bacchus|White|Germany||Silvaner x Riesling crossed with Müller-Thurgau; England's aromatic white.
Kerner|White|Germany||Trollinger x Riesling.
Müller-Thurgau|White|Switzerland|Rivaner|Riesling x Madeleine Royale, bred 1882.
Ortega|White|Germany||
Siegerrebe|Pink|Germany||
Madeleine Angevine|White|France||
Elbling|White|Germany||One of the oldest varieties on the Mosel.
Schiava|Red|Italy (Alto Adige)|Trollinger; Vernatsch|
Blaufränkisch|Red|Austria|Lemberger; Kékfrankos; Frankovka; Modra Frankinja|
Zweigelt|Red|Austria||Blaufränkisch x St. Laurent, bred 1922; Austria's most planted red.
Grüner Veltliner|White|Austria|Veltlínské Zelené|
Roter Veltliner|White|Austria||
Zierfandler|White|Austria||
Rotgipfler|White|Austria||
Blauer Wildbacher|Red|Austria||The Schilcher grape.
Welschriesling|White|Central Europe|Olaszrizling; Laški Rizling; Graševina; Riesling Italian; Italian Riesling; Ryzlink Vlašský|No relation to Riesling despite the name.
Cornalin|Red|Switzerland||
Humagne Rouge|Red|Italy (Aosta)||
Petite Arvine|White|Switzerland||
Amigne|White|Switzerland||
Prié Blanc|White|Italy (Aosta)||
Devín|White|Slovakia||
Pálava|Pink|Czechia||
Ryzlink|White|Central Europe||Generic Czech term for Riesling-named varieties.
Svatovavřinecké|Red|Austria|St. Laurent|
Alibernet|Red|Ukraine||
Nebbiolo|Red|Italy (Piedmont)|Chiavennasca; Spanna; Picotendro|Pale, tannic and long-lived — Barolo and Barbaresco are both this grape.
Barbera|Red|Italy (Piedmont)||
Dolcetto|Red|Italy (Piedmont)||
Arneis|White|Italy (Piedmont)||
Cortese|White|Italy (Piedmont)||
Erbaluce|White|Italy (Piedmont)||
Grignolino|Red|Italy (Piedmont)||
Freisa|Red|Italy (Piedmont)||A close relative of Nebbiolo.
Ruchè|Red|Italy (Piedmont)||
Brachetto|Red|Italy (Piedmont)||
Timorasso|White|Italy (Piedmont)||Rescued from near-extinction in the 1980s.
Pelaverga Piccolo|Red|Italy (Piedmont)|Pelaverga|
Vespolina|Red|Italy (Piedmont)||
Moscato di Scanzo|Red|Italy (Lombardy)||
Petit Rouge|Red|Italy (Aosta)||
Fumin|Red|Italy (Aosta)||
Croatina|Red|Italy (Lombardy)|Bonarda|Italy's Bonarda; unrelated to Argentina's.
Turbiana|White|Italy (Lombardy)|Trebbiano di Lugana|
Corvina|Red|Italy (Veneto)|Corvina Veronese|
Rondinella|Red|Italy (Veneto)||
Molinara|Red|Italy (Veneto)||
Garganega|White|Italy (Veneto)||The Soave grape.
Glera|White|Italy (Veneto)|Prosecco|Renamed in 2009 so that Prosecco could become a protected place name.
Vespaiola|White|Italy (Veneto)||
Durella|White|Italy (Veneto)||
Raboso Piave|Red|Italy (Veneto)|Raboso; Friularo|
Moscato Giallo|White|Italy (Veneto)||
Bianchetta|White|Italy (Veneto)|Bianchetta Trevigiana|
Lagrein|Red|Italy (Alto Adige)||
Teroldego|Red|Italy (Trentino)||
Marzemino|Red|Italy (Trentino)||
Nosiola|White|Italy (Trentino)||
Friulano|White|Italy (Friuli)|Sauvignonasse; Tocai Friulano|
Ribolla Gialla|White|Italy (Friuli)|Rebula|A cornerstone of the modern orange-wine movement.
Picolit|White|Italy (Friuli)||
Verduzzo Friulano|White|Italy (Friuli)||
Refosco dal Peduncolo Rosso|Red|Italy (Friuli)|Refosco|
Terrano|Red|Italy (Friuli)|Refošk; Teran|Related to but distinct from Refosco dal Peduncolo Rosso.
Vitovska|White|Slovenia||
Schioppettino|Red|Italy (Friuli)|Ribolla Nera|
Lambrusco di Sorbara|Red|Italy (Emilia)||
Lambrusco Grasparossa|Red|Italy (Emilia)||
Lambrusco Salamino|Red|Italy (Emilia)||
Lambrusco Marani|Red|Italy (Emilia)||
Lambrusco Viadanese|Red|Italy (Lombardy)||
Albana|White|Italy (Emilia-Romagna)||
Grechetto|White|Italy (Umbria)|Grechetto Gentile; Pignoletto|
Ortrugo|White|Italy (Emilia)||
